Creator,Count
YuzukiY,89
ASDWADSXC,64
Promiii,50
HXJ_Crafter,43
luyzi,41
Ziel,36
Elaina-,35
Prefix_Gopher,34
Biemote,34
boomushroom,33
tkdkendo,29
yoshilove,26
mdr9999,25
XYC,22
HXJ_ConveX,21
_potech4n,21
AyaseEli,20
B0JP45,20
biemote,19
Slavyan,19
DPkaiden,18
Flappy_BOX,18
Cinderella,17
XDEDY,16
2nurupo_,14
Rurikon,14
Endermeng,13
laosibiniqiang,13
Kureyu,13
tedeza2dx,13
Bete1geuse,12
wscxzl,12
r567as,11
-[Sorara]-,11
deMEnt,11
Ne9hren68,11
*rak*,11
1bis11,10
Laevatain,10
Please_,10
taroimo,9
aqawse123,9
stanchen,9
tommy149,9
Olakasa,9
spech,9
10th marlo,9
FlappiBakuse,9
9thMarlo,9
coolbreeze9647,9
Tofu1222,8
Lu-,8
En-Thu-Si-As-Tic,8
Marlo8thKey,8
Aoba,8
teradora,8
Solace_,8
Critical_Star,7
yuwenhao1,7
OAT,7
Tabula_Rasa,7
Spy,6
ruk10n,6
CoffeeCat_,6
rakten,6
Oekakizuki,6
Competitor,6
Zoisite,6
ExterminateSlavyan,6
"Malody Chart Team ""luyzi""",5
Xing_Ren,5
cyjy,5
YuzukiYuu,5
Marlo7thKey,5
zokinn,5
Sorara__,5
HEQRAHMIST,5
Ap_Cy,5
paperlens,4
T0m0,4
YuzukiY forever,4
tkdkendo vs. Kureyu,4
Akikaze_,4
youer_lucky,4
Hoshimiya401,4
FlexibleBeetle,4
Secret,4
Ricky,4
_Curta1n,3
mutoene,3
ShiroIro,3
Lonely Cinderella,3
Selyna_,3
Hentaisiyangkun,3
MMTP99,3
"Malody Chart Team ""Cinderella""",3
MengLongZZ,3
DustMoon,3
Laddie Amoyensis,3
A5ary,3
FruitHarvest,3
-[Apple]-,3
Aggressive Adjudicator ~Arrogance of YuzukiY~,3
_Vexxxx_,3
Doukutsufan,3
AyaseEli Utopia,3
Yuzuk!Y No.24,3
baozale,3
baigu,3
Angel_165,3
Yolfgang Zamadeus Mozark,3
mewtwo,3
MyHome,3
YarnYang,3
W1ther,3
xuyou,3
Pe MyHome Pe,3
Protastic101,3
èlazoaB,3
YUZUKiY,3
~YuzukiY~,3
Moonpiercer,2
MiLK,2
Yuzuki's last order,2
Crimson Yuzuki,2
6thMarloCup,2
Rw_Kinrain,2
pezenifi,2
aburisalmon,2
Cinderella desu!,2
9DAYS,2
r567as vs Endermeng,2
r567as vs Yuzuki,2
rak.,2
tedeza2dx×ruk10n,2
to2,2
JackyO8,2
'/v2v1<1'/,2
SneakySN,2
man10,2
Tosaki_Rin,2
玄鳖,2
Kuo Kyoka,2
PLEASE_,2
XLWAN,2
Mischievous YuzukiY,2
B-Leaf,2
A Mapping Sibyl ''*rak*'',2
Goldenglow,2
YuxxkiY,2
victorica,2
kureyu,2
Silly Yuzuki,2
Pop_Slime,2
⤵︎ ︎*←r↑a↓k→*⤴︎︎︎,2
Fubukril,2
PoisonEgg,2
SamsaraVast,2
myhome,2
Yashiro-,2
LiN(i-Pr)2,2
"Malody Chart Team ""KANAYA""",2
Corrosion,2
clAStIcwEdgE,2
(☉MyHome☉*),2
KuoKyoka,2
baozole,2
BiemoteX,2
Fiece-,2
Hoshimiya_,2
XiaoLongBao,2
Anoyahe,2
ExNeko,2
afairai,2
Yuzuki: End of 2020,2
Kuro Izaya,1
Avalon,1
Let’s MiLK!,1
Vortex-,1
"Team c=evo.""THE AVENGER""",1
Staties,1
"Malody Chart Team ""XDEDY x ASDWADSXC""",1
Malody Chart Team,1
Endnessless,1
ΣxplodsioИ vs. я567⁵αs,1
Александрит,1
DJ MARIROSE VS 玄鳖,1
玄鳖-biemote-,1
suruo,1
Myosotis,1
MoMoEven,1
Ren2,1
ASDWADSXC vs. AkagiPh,1
Monkey D. Ziel,1
r·567·as,1
2NT,1
Team AyaseYuzuki aka. VVelcome Berserker!!,1
Biemote aka. Low BPM Selector,1
I'm ON FIRE!!!,1
Evil Cinderella,1
Aoba With luyzi,1
HarumakiAoba,1
HXJ-From the last generation-,1
Yuzuki-From the first generation-,1
The unique Cinderella,1
Dancer Cinderella,1
Climber Cinderella,1
BiBi-XDEDY,1
ARatzerh,1
R567AS,1
KIYAMA//owo//KIYAMA,1
KIYAMA//uqu//KIYAMA,1
KIYAMA//^w^//KIYAMA,1
Yuzuki vs r567as,1
 Yuzuki vs Cinderella,1
r567as vs zilithe,1
Jokerella,1
DS_xwx,1
HXJ -4th Trial-,1
"Malody Chart Team ""Baozale""",1
"Malody Chart Team ""Prefix_Gopher""",1
HXJ -5th Trial-,1
HXJ -6th Trial-,1
HXJ -7th Trial-,1
HXJ -9th Trial-,1
"Malody Chart Team ""Promiii""",1
ruk10n×tkdkendo,1
asdwadsxc vs. XDEDY,1
Ne9hren68 & *rak*,1
*rak* &Ne9hren68,1
rak_,1
tkdkendo vs. _potech4n,1
ruk10n×tedeza2dx,1
unknown mapper B1,1
unknown mapper B4,1
ruk11n,1
Endermeng vs Lu-,1
YuzukiY vs r567as,1
Kureyu vs. tkdkendo,1
Rw_Kinrain vs. mdr9999,1
End A5ary,1
*rakten*,1
Unknown,1
YU2UK1Y vs ERR02,1
ASDWADSXC feat. Err02,1
brand new floar,1
tedeza2dx vs. tkdkendo,1
 tedeza2dx,1
YuzukiX,1
YuzukiXX,1
biemote.RU VS YuzukiXXX,1
hokin1995,1
P212,1
"""The Ashen Witch"" Elaina",1
RKTN,1
A01,1
A13,1
A26,1
Kril,1
Phizer,1
Endermeng vs r567as,1
RAKNOPOLIS 2122,1
RAKNOPOLIS 2022,1
RAKNOPOLIS 0000,1
Eedow,1
YuzukiY VS Akikaze_ VS Biemote,1
YuzukiY VS biemote,1
Please!!,1
Please!,1
Cure *rak*,1
Shima Rin,1
Biemote: Shippuden,1
HXJ vs. baoйale,1
"Another Side of ""Lucky""",1
The beginner *baigu*,1
First Station -- Origin,1
MixxioN accomplished.,1
YuxxkiY VS YuxxkiS,1
～FIИΛL ΞXPLØXIØИ～,1
MΛX ΞXPLØXIØИ,1
ΞXPLØXIØИ,1
ΞXPLOXIOИ,1
ΞXPLOXION,1
POTENTIAL -50%-,1
POTENTIAL -99%-,1
POTENTIAL -MAX-,1
Neko1y,1
Sora_Child,1
YuzukiY VS YuzukiS,1
hussm,1
MDTT,1
EliAyase,1
HXJ_Crafter x AyaseEli,1
Reimu Vs. Hoshimiya,1
"""The Pink Witch"" Yuzuki",1
Swing^Cat^,1
Arzenvald,1
Fuburin,1
Boomushroom vs. Shioriko_,1
_aseald,1
Malody_Narrow,1
themazeeat,1
Ashen Witch feat. Zoisite,1
W1ther // World Vanquisher,1
Phiyer,1
Emend_owo,1
Fu-,1
LingYinSama,1
sana3,1
Death_ & boomushroom & Zoisite,1
Solace_ vs. Please_,1
JP Assistant Team,1
tkdkendo & _potech4n & tommy149,1
B0JP45 (respect METHOD),1
ReVieNeN2,1
Solace_ feat. yuwenhao1,1
-Maboroshi-,1
Dιχαηιπατεδ ΖΘΙΣΙΓΞ,1
moderate,1
Ap_Cy feat. Narrow,1
"Zoisite the ""Criminal""",1
"Zoisite as ""Khronostasis""",1
Access Seeker // Zoisite,1
BakaRabbit,1
Olakasa VS YuzukiY,1
_potech4n vs. tkdkendo,1
W1ther ,1
Tongxini,1
Lusu,1
_kokor0_,1
W1ldflow3r,1
gufuz,1
Kureyu remade by tkdkendo,1
-mint-,1
Mashiro-Fang,1
Bmshrm,1
Bomshrom,1
ForgetName,1
Crystallized-,1
mashiro-fang,1
Liliumy,1
liaoxingyao,1
HXJ_Matrix,1
Apple vs. liaoxingyao,1
Apple,1
Phyde_cosic,1
Doomushroom,1
Coomushroom,1
unknown mapper A5,1
unknown mapper A6,1
unknown mapper A7,1
ZcyanieL,1
C19,1
C18,1
The ULTIMATE PromisE aka. FiecE,1
BBKB. vs. Hoshimiya_,1
写儀の少女Rin,1
写儀の少女Rasa,1
CandyCinderella,1
AyaseHXJ,1
tkdkendo vs. konjac,1
AstralCX. vs Yi_Hui,1
FractureHXJ,1
BADXDEDY,1
Cindermellia,1
567 mph,1
Wilben_Chan,1
ExNeko ,1
TheNewBungping,1
r567as ,1
Keep creative,1
Keep passion,1
Keep loving,1
luyzi & Promiii,1
Sakamoto_,1
Tosaki_Rin&Rw_Kinrain,1
HXJ_Destr0yer,1
silentshroom,1
Ch0colat_N vs. Sena_4,1
Я567α⁵s,1
Err02 vs r567as,1
zilithe vs r567as,1
Quantum Riot,1
Re: Yuzuki vs Err02,1
s657ar,1
r6a75s,1
r5a67s,1
VVelcome.1,1
